Type,job_title,job_area,salary-bot,salary-top,year,education,company_title,company_info,skill,publis_name,welfare,job_url
网络工程师,网络工程师,厦门·思明区·轮渡,5416,8666,经验不限,学历不限,厦门浩云信成,互联网未融资20-99人,IDC维护 交换机配置 故障处理 IDC建立,杨女士hr,员工旅游，五险，餐补，交通补助，通讯补贴，带薪年假,https://www.zhipin.com/job_detail/31538ef5b30015791nN729u0GFJV.html
网络工程师,网络工程师,武汉·洪山区·街道口,6000,8000,1-3,本科,友联时代,电子商务不需要融资0-20人,网络运维 安全运维 网络工程师证 网络设备,罗女士财务,五险一金，年终奖,https://www.zhipin.com/job_detail/e4a95b2b4bf7db600XZ739m5Elc~.html
网络工程师,网络工程师,青岛·市北区·科技街,4333,8666,1-3,大专,惠创联成,通信/网络设备0-20人,网络交换技术 网络工程师证 交换机配置 网络规划设计,曲先生技术经理,加班补助，节日福利，五险一金，定期体检，年终奖,https://www.zhipin.com/job_detail/f671f735e06b5b7e0HB63d-7GVQ~.html
网络工程师,网络工程师,杭州·滨江区·江南,5000,6000,1-3,大专,速联,互联网20-99人,网络运维 运维工程师 系统运维 IT技术支持 抓包,刘女士招聘者, ,https://www.zhipin.com/job_detail/eddfb6f655ceb9571nR-3t20EVFQ.html
网络工程师,网络工程师,广州·白云区·同和,6000,8000,1-3,本科,枫车,电子商务不需要融资100-499人,运维 安全运维 网络运维 网络安全 网络设备,江女士经理,节日福利，加班补助，带薪培训，五险一金，带薪年假，通讯补贴，员工旅游，交通补助，年终奖，周末双休，零食下午茶，餐补，定期体检,https://www.zhipin.com/job_detail/f5c9dfc9258b67f83ndz3N-0GFQ~.html
网络工程师,网络工程师,杭州,16250,32500,5-10,大专,单创,电子商务不需要融资1000-9999人,Linux 网络设备 网络安全 云计算 CCIE证书,李先生it工程师,股票期权，年终奖，员工旅游，五险一金，定期体检，带薪年假，补充医疗保险，节日福利，零食下午茶，培训,https://www.zhipin.com/job_detail/18bb1f68f21c67581nZ709W_E1RV.html
网络工程师,网络工程师,洛阳·涧西区·高新区,3000,5000,1-3,本科,洛阳创合,仪器仪表/工业自动化未融资20-99人,系统运维 网络运维 安全运维 系统管理员,张女士人事招聘专员,交通补助，节日福利，通讯补贴，全勤奖，五险一金，餐补，包吃，加班补助，年终奖,https://www.zhipin.com/job_detail/192809b04409af0033xz2ty1GFM~.html
网络工程师,网络工程师,湖州·南浔区·南浔镇区,4000,6000,1-3,大专,蔚蓝通信工程,通信/网络设备20-99人,路由器配置 宽带安装维护,许先生经理, ,https://www.zhipin.com/job_detail/43be4f2ad99494431nF52d-5EFpR.html
网络工程师,网络工程师,青岛·即墨区·通济,5000,7000,1-3,学历不限,凯通电子,企业服务20-99人,网络自动化 故障处理 交换机配置 路由器配置,宋先生经理, ,https://www.zhipin.com/job_detail/83d77576e8d6b5f61XR53t-0GVVV.html
网络工程师,网络工程师,北京·昌平区·昌平镇,8000,10000,1-3,大专,九智安,信息安全20-99人,网络工程师证 CCNP证书 Windows Linux,陈女士人事, ,https://www.zhipin.com/job_detail/82ee37fce4a2d2e61nJ43tq1FVpQ.html
网络工程师,网络工程师,广州,5000,10000,1-3,大专,银河在线,贸易/进出口未融资100-499人,网管 IT 网络管理员,苏女士招聘,零食下午茶，节日福利，五险一金，年终奖，全勤奖，餐补,https://www.zhipin.com/job_detail/ef96e8d59b1773791nF739u6GFVQ.html
网络工程师,网络工程师,上海·浦东新区·金桥,10000,15000,1-3,本科,盛达期货,互联网金融不需要融资20-99人,CCNP证书 网络工程师证 IDC维护 网络自动化,王先生人事经理,节日福利，带薪年假，五险一金，员工旅游，餐补，年终奖，定期体检,https://www.zhipin.com/job_detail/be1000edaa5ed5a21nF-2dS9GFZV.html
网络工程师,网络工程师,深圳·福田区·车公庙,8666,14083,1-3,本科,北京勤慕数据,通信/网络设备不需要融资20-99人,网络工程师证 华为HCIP,单女士行政人事经理,补充医疗保险，通讯补贴，年终奖，定期体检，加班补助，节日福利，五险一金，带薪年假，员工旅游，餐补,https://www.zhipin.com/job_detail/b599929d1ed3b4e01XR709u5EVNS.html
网络工程师,网络工程师,重庆,8000,12000,1-3,大专,艾博特科技,通信/网络设备未融资20-99人,运维通信资格证书 CCNP证书 CCIE证书 网络工程师证,姜女士HR,五险一金，通讯补贴，电脑补贴,https://www.zhipin.com/job_detail/abad5e73f1b11a761nJz09y5GFJQ.html
网络工程师,网络工程师,天津·河东区·大王庄,25000,50000,经验不限,本科,渤海银行,银行10000人以上,运维通信资格证书 CCIE证书 网络设备 网络安全,焦女士HRBP, ,https://www.zhipin.com/job_detail/563e703eb6d6785d1nVz0928GFNW.html
网络工程师,网络工程师,重庆·九龙坡区·石桥铺,3000,5000,经验不限,大专,翌航,通信/网络设备不需要融资0-20人,网络安全工程师,唐女士后勤,节日福利，年终奖，员工旅游，五险一金，通讯补贴，补充医疗保险，带薪年假，全勤奖,https://www.zhipin.com/job_detail/99b4656f2b9472ca1nxy39i8EFZV.html
网络工程师,网络工程师,南昌·红谷滩区·红谷滩,15000,30000,5-10,本科,中移全通,通信/网络设备已上市1000-9999人,Unix Windows Linux CCNP证书,李先生项目经理,年终奖，零食下午茶，员工旅游，加班补助，补充医疗保险，带薪年假，交通补助，通讯补贴，五险一金，企业年金，餐补，定期体检，节日福利,https://www.zhipin.com/job_detail/43992ad7c8c51eee1XR82Ny7FVtV.html
网络工程师,医院IT 网络工程师,北京·丰台区·草桥,9000,11000,3-5,本科,高博医院,企业服务未融资1000-9999人,MCSE,吴女士人力资源主管,交通补助，包吃，节日福利，年终奖，五险一金，餐补，定期体检，免费班车，带薪年假，零食下午茶,https://www.zhipin.com/job_detail/6612c7e64b8250721nN_3Ni0FlBW.html
网络工程师,网络工程师,乌鲁木齐·天山区·红山路,5000,6000,1-3,大专,北京天云动力科技...,机械设备/机电/重工已上市100-499人,安全运维 运维工程师 系统运维 机房运维 网络设备,史先生技术主管,餐补，带薪年假，定期体检，五险一金，节日福利，加班补助，年终奖，交通补助，通讯补贴,https://www.zhipin.com/job_detail/8f7d052f4906892f3nR50ty7GVM~.html
网络工程师,网络工程师,广州·天河区·棠下,6000,10000,1-3,本科,腾科职校,互联网未融资100-499人,运维通信资格证书 CCNP证书 CCIE证书 HCIP证书,欧先生技术总监,员工旅游，带薪年假，零食下午茶，定期体检，五险一金，通讯补贴，节日福利,https://www.zhipin.com/job_detail/f88305f754d318911nN739W0EFNS.html
网络工程师,网络工程师,厦门·思明区·观音山,11666,17500,3-5,本科,厦门铃盛软件有限公司,计算机软件已上市1000-9999人,路由器配置 交换机配置 故障处理 CCNA证书,黄先生IT经理,股票期权，零食下午茶，员工俱乐部，员工旅游，节日福利，带薪年假，年终奖，六险一金，定期体检，免费班车,https://www.zhipin.com/job_detail/6ca7c236ddaf58461n182N26FVNQ.html
网络工程师,IT网络工程师,中山,4000,6000,在校,大专,HOLYME,化工未融资20-99人,交换机配置 路由器配置 IDC维护 网络自动化,郭先生总经理,年终奖，住房补贴，餐补，节日福利，五险一金，包吃，全勤奖，定期体检，带薪年假，员工旅游，补充医疗保险，加班补助,https://www.zhipin.com/job_detail/cce2b8537c83a3961XR43tu5ElVW.html
网络工程师,思科网络工程师,上海·虹口区·江湾,14083,17333,3-5,学历不限,上海聚托,通信/网络设备不需要融资20-99人,负载均衡,闻女士HR,通讯补贴，节日福利，股票期权，补充医疗保险，交通补助，年终奖，五险一金，加班补助，员工旅游，带薪年假，定期体检，全勤奖,https://www.zhipin.com/job_detail/d3aebc6b2bf1f11f1n1z3Nm0FlNR.html
网络工程师,高级网络工程师,武汉,8000,12000,3-5,大专,仕云,通信/网络设备不需要融资20-99人,IT技术支持 路由 交换机,吕女士招聘者,带薪年假，交通补助，五险一金，定期体检，节日福利，年终奖,https://www.zhipin.com/job_detail/1a947439f1793db41nV829u6F1NR.html
网络工程师,资深网络工程师,福州·台江区·台江万达,10833,13000,5-10,大专,华信纵横,计算机软件不需要融资20-99人,运维通信资格证书,林女士人事助理,定期体检，餐补，交通补助，补充医疗保险，零食下午茶，带薪年假，通讯补贴，员工旅游，五险一金，年终奖,https://www.zhipin.com/job_detail/0b125c2431ca58cb1n1529u7GFVV.html
网络工程师,网络工程师（贵阳）,贵阳·观山湖区·金阳商业步行街,7000,12000,1-3,大专,联合永道,计算机软件已上市500-999人,故障处理 交换机配置 路由器配置 云数据中心,戴女士招聘专员,带薪年假，节日福利，五险一金,https://www.zhipin.com/job_detail/867c4ae86213122f1XR40tu1FFtV.html
网络工程师,售后网络工程师,珠海·香洲区·新香洲,8000,10000,1-3,大专,珠海达翔,通信/网络设备未融资20-99人,CCNP证书 运维通信资格证书,肖女士人事,员工旅游，定期体检，带薪年假，节日福利，加班补助，年终奖，五险一金,https://www.zhipin.com/job_detail/bf7222581a6743cd1n1629-_EVZR.html
网络工程师,网络工程师-成都,成都·郫都区·犀浦,5416,10833,1-3,大专,华维电子,通信/网络设备未融资20-99人,故障处理 交换机配置 路由器配置 网络自动化,秦先生招聘者,补充医疗保险，带薪年假，交通补助，年终奖，定期体检，员工旅游，节日福利，五险一金，通讯补贴,https://www.zhipin.com/job_detail/4dfdfb989545dad51XR43NW0FVtR.html
网络工程师,网络工程师（北京）,北京·朝阳区·望京,13000,26000,3-5,本科,软通动力信息技术集团,计算机软件已上市10000人以上,Linux Cisco Juniper IDC CCNP证书,许女士人事主管,餐补，补充医疗保险，五险一金，零食下午茶，带薪年假，员工旅游，包吃，全勤奖，定期体检，加班补助，通讯补贴，交通补助，免费班车，节日福利，年终奖,https://www.zhipin.com/job_detail/117dc8d82baf52e61XR73tS5GFZR.html
网络工程师,数通网络工程师,石家庄·长安区·中山东路,5000,10000,3-5,大专,河北华博电子,计算机硬件未融资20-99人,交换机配置 路由器配置,王女士人资,通讯补贴，交通补助，五险一金,https://www.zhipin.com/job_detail/904ff51d2bcc87ea1nN42Nq4ElNX.html
网络工程师,网络工程师,青岛·市北区·大港,5000,8000,1-3,大专,中控智慧,智能硬件未融资0-20人,交换机配置 路由器配置 网络工程师证,孙先生经理,年终奖，补充医疗保险，零食下午茶，全勤奖，通讯补贴，带薪年假，交通补助，节日福利，股票期权，餐补，五险一金，定期体检,https://www.zhipin.com/job_detail/940e8e13ff571b4a1n1y2ty7FFJX.html
网络工程师,售后网络工程师,武汉·洪山区·光谷,8000,11000,3-5,大专,敏捷物联,智能硬件不需要融资20-99人,网络设备,柴女士人力资源专员,五险一金，带薪年假，年终奖，交通补助，通讯补贴，节日福利,https://www.zhipin.com/job_detail/5184b14b2da378c933d92ty1EFI~.html
